period,dln_x,se1,se2,dln_e,se3,se4,dln_r,se5,se6,dln_n,se7,se8,dln_y,se9,se10,dln_b,se11,se12
1,-0.045794,0.340906,-0.432494,1.163116,1.466796,0.859436,-0.064491,0.138449,-0.267431,0.758692,0.899972,0.617412,0,0,0,0,0,0
2,0.433114,0.968454,-0.102226,0.423462,0.932382,-0.085458,0.032095,0.544175,-0.479985,0.206491,0.676391,-0.263409,0.156548,0.614288,-0.301192,-0.139358,0.315222,-0.593938
3,-0.01232,0.58148,-0.60612,-0.105261,0.475179,-0.685701,-0.252779,0.325401,-0.830959,-0.117642,0.369138,-0.604422,0.13083,0.65629,-0.39463,0.03877,0.54581,-0.46827
4,-0.164742,0.438218,-0.767702,-0.228672,0.407368,-0.864712,-0.10677,0.46341,-0.67695,-0.107098,0.414082,-0.628278,0.157416,0.710656,-0.395824,0.136691,0.653911,-0.380529
5,-0.287653,0.323707,-0.899013,0.044974,0.711814,-0.621866,0.059616,0.679196,-0.559964,-0.158693,0.377607,-0.694993,0.152262,0.729462,-0.424938,0.297116,0.892956,-0.298724
6,-0.092679,0.523221,-0.708579,0.150304,0.833304,-0.532696,0.134725,0.718605,-0.449155,0.036194,0.551734,-0.479346,0.035262,0.586602,-0.516078,-0.038025,0.508195,-0.584245
7,-0.017875,0.580605,-0.616355,-0.048432,0.594748,-0.691612,0.073336,0.621496,-0.474824,0.078875,0.579775,-0.422025,-0.106935,0.419705,-0.633575,-0.098148,0.466532,-0.662828
8,0.064901,0.667421,-0.537619,0.013756,0.680516,-0.653004,-0.027952,0.510028,-0.565932,-0.0372,0.47496,-0.54936,-0.108945,0.424875,-0.642765,0.026647,0.567987,-0.514693
9,0.072479,0.689139,-0.544181,0.030248,0.701368,-0.640872,-0.043556,0.501704,-0.588816,0.000397,0.502537,-0.501743,-0.01852,0.51974,-0.55678,-0.00124,0.54886,-0.55134
10,0.002329,0.613109,-0.608451,-0.050201,0.629379,-0.729781,0.007583,0.552803,-0.537637,-0.02896,0.48998,-0.5479,0.026081,0.553781,-0.501619,-0.004822,0.550118,-0.559762
