period,ln_b,se1,se2
1,-0.061,0.6176,-0.7396
2,-0.430861,0.648999,-1.510721
3,-0.914857,0.416403,-2.246117
4,-1.286609,0.256171,-2.829389
5,-1.188303,0.393997,-2.770603
6,-1.052784,0.538736,-2.644304
7,-1.007766,0.610614,-2.626146
8,-0.983898,0.648802,-2.616598
9,-0.946642,0.695798,-2.589082
10,-0.905178,0.743962,-2.554318
