period,ln_b,se1,se2
1,0.219349,0.919569,-0.480871
2,0.447159,1.543759,-0.649441
3,0.391873,1.718593,-0.934847
4,0.316002,1.854262,-1.222258
5,0.299681,1.825821,-1.226459
6,0.298398,1.743978,-1.147182
7,0.288695,1.701415,-1.124025
8,0.275104,1.671604,-1.121396
9,0.262972,1.630912,-1.104968
10,0.252332,1.587572,-1.082908
