period,dln_x,se1,se2,dln_e,se3,se4,dln_r,se5,se6,dln_n,se7,se8,dln_y,se9,se10,dln_b,se11,se12
1,0.871676,1.445696,0.297656,1.620351,2.054831,1.185871,0.0446,0.34988,-0.26068,0.971332,1.209792,0.732872,0.598109,0.707589,0.488629,0,0,0
2,0.806082,1.619942,-0.007778,-0.117355,0.674865,-0.909575,0.117855,0.920615,-0.684905,-0.311539,0.421321,-1.044399,0.369109,1.085549,-0.347331,-0.171369,0.523071,-0.865809
3,0.071955,1.001715,-0.857805,-0.0509,0.84026,-0.94206,-0.394993,0.484747,-1.274733,-0.35054,0.42194,-1.12302,0.335712,1.145772,-0.474348,0.27265,1.06277,-0.51747
4,-0.156787,0.791033,-1.104607,-0.179214,0.806406,-1.164834,-0.043903,0.850217,-0.938023,-0.243699,0.580401,-1.067799,0.232488,1.108448,-0.643472,0.125851,0.948651,-0.696949
5,-0.275097,0.689443,-1.239637,0.249454,1.259394,-0.760486,0.110552,1.070552,-0.849448,-0.2941,0.56028,-1.14848,0.337614,1.254894,-0.579666,0.385979,1.311459,-0.539501
6,0.060392,1.024292,-0.903508,0.154971,1.182251,-0.872309,0.194242,1.095502,-0.707018,0.013619,0.829579,-0.802341,0.030087,0.877707,-0.817533,-0.246744,0.627456,-1.120944
7,0.087348,1.042568,-0.867872,-0.091908,0.903572,-1.087388,0.066857,0.913237,-0.779523,0.00851,0.79151,-0.77449,-0.044515,0.788125,-0.877155,-0.078312,0.797788,-0.954412
8,0.203749,1.185929,-0.778431,0.09664,1.10048,-0.9072,-0.014164,0.815616,-0.843944,-0.158793,0.634887,-0.952473,-0.05724,0.78536,-0.89984,0.009339,0.874839,-0.856161
9,0.160585,1.160165,-0.838995,0.033987,1.060227,-0.992253,-0.010909,0.829891,-0.851709,-0.032953,0.763447,-0.829353,0.070115,0.928855,-0.788625,-0.05225,0.82857,-0.93307
10,0.036992,1.070152,-0.996168,-0.071337,0.981003,-1.123677,0.044304,0.886424,-0.797816,-0.122395,0.697125,-0.941915,0.065946,0.954666,-0.822774,-0.042261,0.868859,-0.953381
