period,ln_x,se1,se2,ln_e,se3,se4,ln_r,se5,se6,ln_n,se7,se8,ln_y,se9,se10,ln_b,se11,se12
1,1.012574,1.205194,0.819954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.063652,1.524632,0.602672,-0.784761,-0.391181,-1.178341,-0.116844,0.218356,-0.452044,-0.575782,-0.254902,-0.896662,0.094921,0.406121,-0.216279,-0.026426,0.232234,-0.285086
3,1.062117,1.680597,0.443637,-0.526078,0.057582,-1.109738,-0.225485,0.336755,-0.787725,-0.499744,0.028356,-1.027844,0.265881,0.800721,-0.268959,-0.012768,0.422432,-0.447968
4,1.013696,1.750276,0.277116,-0.500832,0.201088,-1.202752,-0.110153,0.550307,-0.770613,-0.384741,0.271279,-1.040761,0.447899,1.121959,-0.226161,-0.0000381,0.4861219,-0.4861981
5,1.047969,1.897069,0.198869,-0.455677,0.315343,-1.226697,-0.11598,0.6015,-0.83346,-0.274898,0.472382,-1.022178,0.552054,1.349894,-0.245786,-0.013704,0.540736,-0.568144
6,1.033936,1.984616,0.083256,-0.390102,0.455438,-1.235642,-0.095867,0.684833,-0.876567,-0.150563,0.671817,-0.972943,0.599312,1.523232,-0.324608,-0.021124,0.651616,-0.693864
7,1.031759,2.068299,-0.004781,-0.296149,0.639671,-1.231969,-0.060145,0.791695,-0.911985,-0.024283,0.853257,-0.901823,0.653991,1.687891,-0.379909,-0.032575,0.735305,-0.800455
8,0.998429,2.128649,-0.131791,-0.254385,0.760115,-1.268885,-0.010618,0.924422,-0.945658,0.062128,0.998248,-0.873992,0.710976,1.840636,-0.418684,-0.055339,0.801581,-0.912259
9,0.933542,2.166742,-0.299658,-0.211553,0.896567,-1.319673,0.05682,1.08904,-0.9754,0.139543,1.142843,-0.863757,0.772881,1.995201,-0.449439,-0.066534,0.876706,-1.009774
10,0.836824,2.183564,-0.509916,-0.180921,1.047439,-1.409281,0.152207,1.289147,-0.984733,0.208569,1.280189,-0.863051,0.836204,2.170084,-0.497676,-0.070539,0.955181,-1.096259
