period,ln_b,se1,se2
1,0.705399,1.357419,0.053379
2,1.252874,2.312694,0.193054
3,0.559311,1.903991,-0.785369
4,0.293706,1.847386,-1.259974
5,0.34107,1.89211,-1.20997
6,0.377564,1.838204,-1.083076
7,0.361274,1.776954,-1.054406
8,0.337515,1.730255,-1.055225
9,0.321652,1.683792,-1.040488
10,0.309095,1.636195,-1.018005
