period,ln_x,se1,se2,ln_e,se3,se4,ln_r,se5,se6,ln_n,se7,se8,ln_y,se9,se10,ln_b,se11,se12
1,-0.101654,0.233286,-0.436594,0.950296,1.220376,0.680216,0.113535,0.308135,-0.081065,0.750207,0.889647,0.610767,0,0,0,0,0,0
2,0.098766,0.610866,-0.413334,1.049038,1.540838,0.557238,0.121118,0.535218,-0.292982,0.717542,1.107942,0.327142,0.189416,0.561716,-0.182884,0.030371,0.346651,-0.285909
3,0.120111,0.704191,-0.463969,0.718113,1.313873,0.122353,-0.021042,0.535138,-0.577222,0.347261,0.882781,-0.188259,0.332354,0.867354,-0.202646,0.039452,0.474192,-0.395288
4,-0.069279,0.542841,-0.681399,0.510943,1.150063,-0.128177,0.073434,0.648034,-0.501166,0.168359,0.755399,-0.418681,0.522318,1.133418,-0.088782,0.094462,0.503682,-0.314758
5,-0.273031,0.378689,-0.924751,0.386925,1.031105,-0.257255,0.264659,0.849779,-0.320461,0.132633,0.743953,-0.478687,0.689068,1.342448,0.035688,0.135617,0.599117,-0.327883
6,-0.426852,0.270828,-1.124532,0.333512,1.037412,-0.370388,0.414385,1.029725,-0.200955,0.176755,0.804675,-0.451165,0.717287,1.440167,-0.005593,0.128435,0.655395,-0.398525
7,-0.501119,0.264361,-1.266599,0.365796,1.124716,-0.393124,0.497883,1.170903,-0.175137,0.250823,0.913503,-0.411857,0.634684,1.422764,-0.153396,0.106681,0.687841,-0.474479
8,-0.508405,0.331395,-1.348205,0.404703,1.210823,-0.401417,0.51437,1.25761,-0.22887,0.277218,0.995238,-0.440802,0.503979,1.350359,-0.342401,0.069106,0.702686,-0.564474
9,-0.485022,0.428678,-1.398722,0.404428,1.263048,-0.454192,0.482112,1.289132,-0.324908,0.240807,1.011187,-0.529573,0.373955,1.289355,-0.541445,0.020337,0.715317,-0.674643
10,-0.463825,0.516815,-1.444465,0.37153,1.29529,-0.55223,0.435448,1.304008,-0.433112,0.163791,0.974631,-0.647049,0.272001,1.272781,-0.728779,-0.016607,0.737573,-0.770787
