period,ln_b,se1,se2,ln_be,se1e,se2e
1,1.050986,1.699526,0.402446,2.273325,2.843805,1.702845
2,2.151396,3.298716,1.004076,2.257409,3.321789,1.193029
3,2.020587,3.579487,0.461687,2.006156,3.425776,0.586536
4,2.247679,4.200479,0.294879,2.327494,4.094614,0.560374
5,2.571406,4.835326,0.307486,2.634278,4.664598,0.603958
6,2.59332,5.06182,0.12482,2.692544,4.966504,0.418584
7,2.592338,5.292898,-0.108222,2.717473,5.227413,0.207533
8,2.658319,5.579979,-0.263341,2.792863,5.527543,0.058183
9,2.681503,5.780143,-0.417137,2.853783,5.783103,-0.075537
10,2.676256,5.944076,-0.591564,2.880182,5.996482,-0.236118
