period,ln_b,se1,se2,ln_be,se1e,se2e
1,1.616514,2.279414,0.953614,1.767835,2.424435,1.111235
2,2.656774,3.862234,1.451314,1.967793,3.218213,0.717373
3,2.475087,4.117987,0.832187,1.393766,3.128786,-0.341254
4,2.860227,4.937967,0.782487,1.842425,4.021425,-0.336575
5,3.302291,5.759591,0.844991,2.208611,4.768211,-0.350989
6,3.309557,6.068697,0.550417,2.175195,5.068695,-0.718305
7,3.390841,6.492061,0.289621,2.22306,5.48558,-1.03946
8,3.550962,6.989922,0.112002,2.349653,5.966633,-1.267327
9,3.582812,7.309192,-0.143568,2.397907,6.326387,-1.530573
10,3.600446,7.621726,-0.420834,2.416303,6.645083,-1.812477
