period,dln_x,se1,se2,dln_e,se3,se4,dln_r,se5,se6,dln_n,se7,se8,dln_y,se9,se10,dln_b,se11,se12
1,0.900931,1.681431,0.120431,2.733867,3.258407,2.209327,0,0,0,0,0,0,0,0,0,0,0,0
2,1.052192,2.164472,-0.060088,-0.030607,1.053973,-1.115187,-0.028122,1.055418,-1.111662,-0.134361,0.854819,-1.123541,0.052873,1.027853,-0.922107,-1.043196,-0.096096,-1.990296
3,-0.141891,1.119289,-1.403071,-0.353072,0.864508,-1.570652,-0.391533,0.807707,-1.590773,-0.626537,0.424963,-1.678037,0.160689,1.259029,-0.937651,-0.139436,0.946964,-1.225836
4,0.254046,1.536646,-1.028554,0.222279,1.559179,-1.114621,-0.062831,1.157949,-1.283611,-0.350571,0.758989,-1.460131,0.283874,1.479074,-0.911326,-0.089191,1.031949,-1.210331
5,0.072773,1.375253,-1.229707,0.315909,1.710109,-1.078291,0.288587,1.584047,-1.006873,-0.137575,1.022085,-1.297235,0.632268,1.847968,-0.583432,0.033263,1.301583,-1.235057
6,0.285138,1.552558,-0.982282,0.04723,1.46751,-1.37305,0.383927,1.571487,-0.803633,-0.219142,0.875398,-1.313682,0.188555,1.307255,-0.930145,-0.505087,0.726133,-1.736307
7,0.225685,1.507605,-1.056235,-0.106625,1.303995,-1.517245,0.084709,1.245089,-1.075671,-0.065416,0.973964,-1.104796,-0.04514,1.0439,-1.13418,-0.277949,0.999011,-1.554909
8,0.191741,1.510361,-1.126879,0.14398,1.57178,-1.28382,0.062753,1.224353,-1.098847,-0.26272,0.82318,-1.34862,0.080816,1.177496,-1.015864,-0.02655,1.27891,-1.33201
9,0.1524,1.4913,-1.1865,0.079752,1.577572,-1.418068,0.12368,1.29872,-1.05136,-0.173809,0.915851,-1.263469,0.115212,1.240592,-1.010168,-0.208885,1.102435,-1.520205
10,0.025943,1.420003,-1.368117,-0.153531,1.407409,-1.714471,0.140694,1.343814,-1.062426,-0.13053,1.02461,-1.28567,0.040092,1.198672,-1.118488,-0.24488,1.11102,-1.60078
