period,ln_b,se1,se2,ln_be,se1e,se2e
1,1.171539,1.671299,0.671779,1.265068,1.741248,0.788888
2,1.165276,1.861456,0.469096,0.654732,1.349732,-0.040268
3,0.21606,0.98768,-0.55556,-0.230569,0.559071,-1.020209
4,0.164771,0.960091,-0.630549,-0.041946,0.781194,-0.865086
5,0.083451,0.730931,-0.564029,0.133171,0.760051,-0.493709
6,0.001004,0.468964,-0.466956,0.105277,0.509137,-0.298583
7,-0.01917,0.33795,-0.37629,0.026224,0.357044,-0.304596
8,-0.00613,0.29571,-0.30797,-0.009477,0.277063,-0.296017
9,0.003394,0.253774,-0.246986,-0.008177,0.245463,-0.261817
10,0.002921,0.213681,-0.207839,0.00000298,0.22422298,-0.22421702
