period,ln_b,se1,se2
1,0.085176,0.777976,-0.607624
2,0.155353,1.245453,-0.934747
3,-0.134449,1.251631,-1.520529
4,-0.094559,1.537641,-1.726759
5,-0.031493,1.595067,-1.658053
6,-0.026231,1.521249,-1.573711
7,-0.035549,1.485011,-1.556109
8,-0.036659,1.468561,-1.541879
9,-0.033655,1.445165,-1.512475
10,-0.031526,1.417474,-1.480526
