period,ln_x,se1,se2,ln_e,se3,se4,ln_r,se5,se6,ln_n,se7,se8,ln_y,se9,se10,ln_b,se11,se12
1,0.654499,1.146779,0.162219,1.297156,1.690276,0.904036,0.284003,0.577643,-0.009637,0.974817,1.205157,0.744477,0.561082,0.660642,0.461522,0,0,0
2,1.030393,1.730073,0.330713,0.736735,1.436975,0.036495,0.388828,1.008668,-0.231012,0.466338,1.086698,-0.154022,0.949705,1.536085,0.363325,0.013612,0.499032,-0.471808
3,1.093326,1.940026,0.246626,0.45115,1.30869,-0.40639,0.229488,1.055628,-0.596652,0.04738,0.85984,-0.76508,1.226745,2.017265,0.436225,0.057454,0.673454,-0.558546
4,0.805653,1.793793,-0.182487,0.22011,1.23809,-0.79787,0.443582,1.376622,-0.489458,-0.080524,0.867456,-1.028504,1.547938,2.500558,0.595318,0.078328,0.733108,-0.576452
5,0.587109,1.748289,-0.574071,0.137611,1.283711,-1.008489,0.650417,1.705577,-0.404743,-0.005133,1.089367,-1.099633,1.785306,2.916446,0.654166,0.072668,0.861928,-0.716592
6,0.398536,1.717836,-0.920764,0.128744,1.429284,-1.171796,0.824821,2.001401,-0.351759,0.13671,1.33757,-1.06415,1.817411,3.152431,0.482391,0.051194,1.004134,-0.901746
7,0.314799,1.789439,-1.159841,0.208391,1.635791,-1.219009,0.935006,2.235746,-0.365734,0.301738,1.606158,-1.002682,1.730694,3.241994,0.219394,-0.000393,1.098467,-1.099253
8,0.2735,1.88964,-1.34264,0.233237,1.781477,-1.315003,0.989237,2.415877,-0.437403,0.385061,1.775501,-1.005379,1.598663,3.280043,-0.082717,-0.080715,1.164565,-1.325995
9,0.240277,1.995517,-1.514963,0.23052,1.88956,-1.42852,1.007045,2.559465,-0.545375,0.399543,1.871403,-1.072317,1.473793,3.325133,-0.377547,-0.148719,1.240521,-1.537959
10,0.184166,2.080126,-1.711794,0.183512,1.980612,-1.613588,1.033903,2.726083,-0.658277,0.366512,1.915992,-1.182968,1.378801,3.419221,-0.661619,-0.1968,1.3248,-1.7184
