period,dln_x,se1,se2,dln_e,se3,se4,dln_r,se5,se6,dln_n,se7,se8,dln_y,se9,se10,dln_b,se11,se12
1,-2.340139,-0.721959,-3.958319,-0.171417,1.336523,-1.679357,5.613361,6.660621,4.566101,0,0,0,0,0,0,0,0,0
2,0.008659,2.291999,-2.274681,0.075636,2.267116,-2.115844,0.135006,2.449766,-2.179754,-0.780391,1.250829,-2.811611,-0.230939,1.737101,-2.198979,0.32502,2.31104,-1.661
3,-2.04186,0.37878,-4.4625,0.399859,2.666599,-1.866881,-0.464966,1.795874,-2.725806,0.091677,2.044097,-1.860743,-0.993183,1.096317,-3.082683,-0.350614,1.734186,-2.435414
4,0.681766,3.249666,-1.886134,-0.238005,2.337775,-2.813785,0.263144,2.751844,-2.225556,0.040364,2.235884,-2.155156,0.315666,2.673746,-2.042414,1.139182,3.383822,-1.105458
5,-0.376836,2.211784,-2.965456,-1.026311,1.618089,-3.670711,0.198159,2.856719,-2.460401,-0.99297,1.27293,-3.25887,-0.941331,1.472089,-3.354751,-0.750503,1.760817,-3.261823
6,0.380443,2.993123,-2.232237,0.382407,3.062967,-2.298153,-0.424963,2.002137,-2.852063,0.741576,2.878296,-1.395144,-0.072898,2.112142,-2.257938,-0.367313,2.034507,-2.769133
7,0.278011,2.901911,-2.345889,0.08732,2.67648,-2.50184,0.266021,2.752081,-2.220039,-0.139835,1.975325,-2.254995,-0.413695,1.815525,-2.642915,0.136106,2.601866,-2.329654
8,0.555138,3.224958,-2.114682,0.461155,2.991515,-2.069205,-0.265495,2.247465,-2.778455,-0.009268,2.031472,-2.050008,0.315488,2.510648,-1.879672,0.012641,2.518081,-2.492799
9,0.04745,2.75807,-2.66317,-0.404992,2.123508,-2.933492,-0.065584,2.464076,-2.595244,0.219539,2.316179,-1.877101,-0.040816,2.194484,-2.276116,-0.671737,1.798643,-3.142117
10,-0.014984,2.886576,-2.916544,-0.061168,2.519332,-2.641668,-0.077058,2.537742,-2.691858,-0.219611,1.842049,-2.281271,0.251099,2.549539,-2.047341,0.556758,3.085278,-1.971762
