period,dln_x,se1,se2,dln_e,se3,se4,dln_r,se5,se6,dln_n,se7,se8,dln_y,se9,se10,dln_b,se11,se12
1,0.828081,1.652021,0.004141,2.842139,3.407239,2.277039,0.089725,0.243305,-0.063855,0.045223,0.193243,-0.102797,0.022064,0.168544,-0.124416,0.567793,0.669113,0.466473
2,1.069034,2.228494,-0.090426,-0.09694,1.02694,-1.22082,0.018299,1.150239,-1.113641,-0.213044,0.811916,-1.238004,0.111306,1.125326,-0.902714,-0.962638,0.027402,-1.952678
3,-0.244052,1.064988,-1.553092,-0.434963,0.829257,-1.699183,-0.521872,0.705488,-1.749232,-0.568931,0.526129,-1.663991,0.183816,1.317876,-0.950244,-0.079412,1.046068,-1.204892
4,0.271075,1.602775,-1.060625,0.222503,1.608163,-1.163157,-0.088894,1.164206,-1.341994,-0.395602,0.767458,-1.558662,0.297249,1.547749,-0.953251,0.220453,1.379453,-0.938547
5,0.123489,1.481829,-1.234851,0.401962,1.849282,-1.045358,0.217623,1.554243,-1.118997,-0.177226,1.038974,-1.393426,0.689855,1.961335,-0.581625,0.195012,1.509992,-1.119968
6,0.300976,1.604156,-1.002204,0.025223,1.502043,-1.451597,0.350996,1.581116,-0.879124,-0.163011,0.978769,-1.304791,0.205585,1.363845,-0.952675,-0.540653,0.742487,-1.823793
7,0.257233,1.579833,-1.065367,-0.128442,1.342238,-1.599122,0.040837,1.249757,-1.168083,-0.089627,0.984673,-1.163927,-0.051875,1.083565,-1.187315,-0.137061,1.191679,-1.465801
8,0.240794,1.603674,-1.122086,0.232416,1.732476,-1.267644,-0.009755,1.189485,-1.208995,-0.284729,0.827271,-1.396729,0.122613,1.260633,-1.015407,0.08431,1.43819,-1.26957
9,0.179565,1.556705,-1.197575,0.096576,1.650076,-1.456924,0.10037,1.31383,-1.11309,-0.146375,0.975265,-1.268015,0.187044,1.364104,-0.990016,-0.185147,1.166833,-1.537127
10,0.035377,1.465537,-1.394783,-0.188781,1.425399,-1.802961,0.134122,1.361802,-1.093558,-0.165087,1.019353,-1.349527,0.065386,1.272886,-1.142114,-0.179838,1.223942,-1.583618
