period,ln_x,se1,se2,ln_e,se3,se4,ln_r,se5,se6,ln_n,se7,se8,ln_y,se9,se10,ln_b,se11,se12
1,-1.881524,-0.444244,-3.318804,-0.66773,0.72239,-2.05785,5.147129,6.090889,4.203369,0,0,0,0,0,0,0,0,0
2,-1.776787,0.213713,-3.767287,-0.358928,1.722452,-2.440308,3.3554,5.14806,1.56274,-0.602018,1.077822,-2.281858,0.605261,2.289781,-1.079259,-0.002897,1.382443,-1.388237
3,-2.681947,-0.486847,-4.877047,0.054798,2.283058,-2.173462,2.515208,4.678748,0.351668,-0.745366,1.234454,-2.725186,-0.045319,1.976301,-2.066939,-0.172206,1.456594,-1.801006
4,-1.874812,0.495228,-4.244852,0.399918,2.797598,-1.997762,1.946152,4.155852,-0.263548,-0.462312,1.676228,-2.600852,-0.087173,2.185307,-2.359653,0.101765,1.667065,-1.463535
5,-1.417957,1.067203,-3.903117,-0.692792,1.597948,-2.983532,1.391762,3.631962,-0.848438,-1.191617,1.039183,-3.422417,-0.267918,2.186422,-2.722258,0.114319,1.875879,-1.647241
6,-0.826593,1.679267,-3.332453,-0.905343,1.480937,-3.291623,0.813875,3.076015,-1.448265,-1.294515,0.830465,-3.419495,-0.449678,2.148462,-3.047818,0.113922,2.057082,-1.829238
7,-0.333458,2.230282,-2.897198,-1.055681,1.302239,-3.413601,0.509364,2.788464,-1.769736,-1.338026,0.729514,-3.405566,-0.568574,2.066646,-3.203794,0.168214,2.225974,-1.889546
8,0.293863,2.934983,-2.347257,-1.040964,1.415176,-3.497104,0.069215,2.449875,-2.311445,-1.337421,0.716959,-3.391801,-0.681981,1.945799,-3.309761,0.13061,2.23699,-1.97577
9,0.837655,3.629255,-1.953945,-1.048572,1.471988,-3.569132,-0.354662,2.127858,-2.837182,-1.343305,0.795595,-3.482205,-0.768388,1.860652,-3.397428,0.061857,2.173557,-2.049843
10,1.332832,4.324432,-1.658768,-0.945561,1.775099,-3.666221,-0.747802,1.903418,-3.399022,-1.317571,0.897149,-3.532291,-0.750749,1.983291,-3.484789,0.037434,2.210754,-2.135886
