period,ln_x,se1,se2,ln_e,se3,se4,ln_r,se5,se6,ln_n,se7,se8,ln_y,se9,se10,ln_b,se11,se12
1,0.396286,1.100526,-0.307954,2.51001,2.99949,2.02053,0.132829,0.259069,0.006589,0.156287,0.275447,0.037127,0.014205,0.126925,-0.098515,0.443354,0.523834,0.362874
2,0.85619,1.80575,-0.09337,1.852045,2.777325,0.926765,-0.13333,0.66683,-0.93349,-0.48871,0.28567,-1.26309,0.16867,0.96145,-0.62411,-0.329701,0.340979,-1.000381
3,0.693454,1.795134,-0.408226,1.231651,2.383951,0.079351,-0.586647,0.518153,-1.691447,-1.053001,-0.044261,-2.061741,0.420513,1.428613,-0.587587,-0.59205,0.22083,-1.40493
4,0.34737,1.57535,-0.88061,1.566805,2.854285,0.279325,-0.560478,0.597322,-1.718278,-1.107518,-0.009478,-2.205558,0.735929,1.878289,-0.406431,-0.249248,0.580412,-1.078908
5,0.149376,1.533096,-1.234344,1.399085,2.772865,0.025305,-0.301862,0.932118,-1.535842,-1.017828,0.238672,-2.274328,0.9476,2.26078,-0.36558,-0.410094,0.578346,-1.398534
6,-0.011741,1.453799,-1.477281,1.141218,2.637338,-0.354902,-0.178726,1.126734,-1.484186,-0.809731,0.536889,-2.156351,0.963416,2.446456,-0.519624,-0.649933,0.469207,-1.769073
7,-0.150352,1.406908,-1.707612,1.358947,2.904327,-0.186433,-0.071712,1.279168,-1.422592,-0.53172,0.85812,-1.92156,0.834899,2.426299,-0.756501,-0.627421,0.603679,-1.858521
8,-0.185379,1.487101,-1.857859,1.483205,3.131005,-0.164595,0.042861,1.472661,-1.386939,-0.343393,1.105607,-1.792393,0.665023,2.349043,-1.018997,-0.734347,0.604953,-2.073647
9,-0.233189,1.566651,-2.033029,1.353379,3.132499,-0.425741,0.099818,1.653698,-1.454062,-0.279901,1.258379,-1.818181,0.514808,2.302248,-1.272632,-0.927281,0.523159,-2.377721
10,-0.358159,1.580101,-2.296419,1.289696,3.235116,-0.655724,0.164447,1.871327,-1.542433,-0.258349,1.371791,-1.888489,0.404652,2.328792,-1.519488,-0.97757,0.58271,-2.53785
