period,ln_b,se1,se2,ln_be,se1e,se2e
1,0.748439,1.227239,0.269639,1.583559,2.010119,1.156999
2,1.07868,1.71434,0.44302,0.581927,1.208787,-0.044933
3,0.180103,0.876843,-0.516637,-0.149078,0.492322,-0.790478
4,0.002782,0.735522,-0.729958,-0.195342,0.464738,-0.855422
5,0.06185,0.63851,-0.51481,-0.006608,0.490792,-0.504008
6,0.060333,0.437073,-0.316407,0.073319,0.415419,-0.268781
7,0.014526,0.292086,-0.263034,0.039845,0.297145,-0.217455
8,-0.006985,0.230095,-0.244065,-0.002806,0.211734,-0.217346
9,-0.002861,0.198279,-0.204001,-0.011666,0.164834,-0.188166
10,0.00269,0.17201,-0.16663,-0.002804,0.152676,-0.158284
